county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
047056100,7,3.5,3538.0,36047056100,0.131,1.978518937252685,1.4065983567645333
047003500,7,3.3333333333333335,1907.0,36047003500,0.051,3.6706869428421607,1.915903688300161
047019900,7,3.1666666666666665,3432.0,36047019900,0.073,2.0396270396270397,1.428155117494959
047075800,7,3.0,1653.0,36047075800,0.079,4.2347247428917125,2.0578446838602065
061012200,7,2.857142857142857,2473.0,36061012200,0.067,2.8305701577031943,1.6824298373790196
047022700,7,3.75,3794.0,36047022700,0.093,1.8450184501845017,1.358314562310403
047003300,7,3.2857142857142856,4202.0,36047003300,0.064,1.6658733936220849,1.2906871788400491
081005100,7,3.4,1866.0,36081005100,0.053,3.7513397642015005,1.9368375678413254
047022900,7,3.25,3675.0,36047022900,0.066,1.9047619047619047,1.3801311186847085
081076901,7,3.0,4407.0,36081076901,0.07,1.5883821193555707,1.2603103266083202
081054500,7,3.142857142857143,4039.0,36081054500,0.044,1.7331022530329288,1.3164734152397186
061018300,7,3.4285714285714284,7827.0,36061018300,0.087,0.8943401047655551,0.9456955666415885
047054200,7,2.8,4008.0,36047054200,0.073,1.746506986027944,1.3215547608888343
061018100,7,3.142857142857143,8496.0,36061018100,0.053,0.8239171374764596,0.9076988142971542
081072300,7,3.6,2050.0,36081072300,0.181,3.4146341463414633,1.8478728707195913
081074100,7,3.0,3060.0,36081074100,0.066,2.2875816993464055,1.5124753549550503
081074300,7,3.0,4082.0,36081074300,0.075,1.7148456638902498,1.309521158244589
081073700,7,3.0,1930.0,36081073700,0.081,3.626943005181347,1.904453466268301
061004700,7,3.4285714285714284,2474.0,36061004700,0.064,2.8294260307194823,1.682089780814176
047052700,7,3.6666666666666665,6490.0,36047052700,0.073,1.0785824345146378,1.0385482340819023
081075701,7,3.0,5022.0,36081075701,0.076,1.3938669852648347,1.1806214402867816
047039000,6,4.2,2397.0,36047039000,0.067,2.5031289111389237,1.5821279692676329
061014700,6,3.0,3475.0,36061014700,0.025,1.7266187050359714,1.3140086396352086
047025100,6,3.0,3741.0,36047025100,0.053,1.6038492381716118,1.2664316950280468
047019300,6,3.2,5882.0,36047019300,0.104,1.0200612036722205,1.0099807937145244
061008900,6,3.5,5413.0,36061008900,0.064,1.1084426380934786,1.0528260246087568
047024500,6,3.0,4491.0,36047024500,0.064,1.3360053440213762,1.1558569738602507
047024900,6,3.0,4018.0,36047024900,0.065,1.4932802389248383,1.2219984610975736
